constraint_type,scan1_index,scan2_index,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1,63,64,-0.47994,-0.0255126,0.0126448,0.00581459,0.0140706,0.244873,0.969436
0,66,67,-0.474443,-0.0347852,0.0120229,0.00535305,-0.0147017,0.0105942,0.999821
1,64,65,-0.32556,0.00503741,0.00798906,0.0035457,0.010126,0.206874,0.978309
0,67,68,-0.358909,0.0131729,0.00236189,0.00109616,-0.00550562,0.0155922,0.999863
1,65,66,-0.485605,-0.0494588,0.0769143,0.000442047,-0.00133863,0.0602764,0.998181
0,68,69,-0.353746,0.00999343,0.044676,0.0714354,-0.00529694,-0.00741848,0.997404
1,66,67,-0.471337,-0.0397929,0.0033709,-0.00175882,0.00820037,0.0145865,0.999858
0,69,70,-0.363866,-0.00664914,-0.0425595,0.0700819,-0.0181836,-0.109621,0.991333
1,67,68,-0.467996,-0.0512623,-0.00295914,0.000802931,0.0118259,0.0224863,0.999677
0,70,71,-0.356047,-0.0410146,-0.0629144,-0.0498227,-0.0416098,-0.0871809,0.994075
1,68,69,-0.435936,-0.0145696,0.0813171,-0.000137704,-0.000279834,-0.00249319,0.999997
0,71,72,-0.384496,-0.0997888,-0.0636306,-0.00946477,-0.0382762,-0.044615,0.998226
1,69,70,-0.459152,0.0199129,-0.0340117,0.0328221,0.00553533,-0.132846,0.990578
0,72,73,-0.199149,-0.0999862,0.0423346,-0.0132999,-0.0188554,-0.203177,0.97887
1,70,71,-0.442881,-0.0883492,0.0851614,-0.0111593,0.00039941,-0.100466,0.994878
0,73,74,-0.140425,-0.1751,-0.0181053,-0.0226081,0.00646958,-0.247427,0.968621
1,71,72,-0.41891,-0.0120254,0.0617303,-0.0143637,-0.00213446,-0.088584,0.995963
0,74,75,-0.258701,-0.075756,0.101489,0.0226279,0.00199774,-0.0412695,0.99889
1,72,73,-0.219383,-0.081004,0.020072,-0.0122494,0.00737021,-0.22936,0.973237
0,75,76,-0.132583,-0.0480953,-0.105749,-0.0227216,-0.00895042,0.0135876,0.999609
1,73,74,-0.192119,-0.131904,0.0114369,-0.004117,0.0049388,-0.252524,0.967569
0,76,77,-0.258621,-0.0327934,-0.0435622,0.0226072,0.0103662,0.0162044,0.999559
1,74,75,-0.254254,-0.107563,0.00922008,-0.000987253,-0.0208571,-0.0141401,0.999682
0,77,78,-0.40481,-0.00850144,0.0840099,-0.00253265,0.00746508,0.0872015,0.996159
1,75,76,-0.18609,-0.032071,0.0151655,0.0180464,-0.00313298,0.0185717,0.99966
0,78,79,-0.262534,0.0404947,-0.0398624,0.00902983,-0.0117988,0.202882,0.97909
1,76,77,-0.214259,-0.0236601,-0.0422067,-0.00334541,0.00629219,0.0112553,0.999911
0,79,80,-0.226608,0.0419747,-0.018548,0.0303636,0.00253586,0.208036,0.977646
1,77,78,-0.430665,-0.0124916,0.00618353,-0.00159353,-0.00153578,0.0967453,0.995307
0,80,81,-0.378114,-0.0543403,0.0448315,-0.0371696,0.00732355,-0.0796523,0.996103
1,78,79,-0.252776,0.0257214,-0.0258897,0.0168052,-0.0110941,0.231324,0.972668
0,81,82,-0.272573,0.00403517,0.00178921,0.00891703,-0.00205194,0.0302899,0.999499
1,79,80,-0.220018,0.0331821,0.00702202,0.00142041,0.00562596,0.191463,0.981483
0,82,83,-0.29641,-0.0615174,0.0237784,-0.0102299,0.00907847,-0.10607,0.994265
1,80,81,-0.352526,0.124424,0.0505441,-0.00373659,0.00287705,-0.100851,0.99489
0,83,84,-0.0721372,-0.0989207,-0.0200102,-0.00589101,-0.00587154,-0.198695,0.980026
1,81,82,-0.261618,-0.0488593,0.0300398,0.00263359,0.00158918,0.0612998,0.998115
0,84,85,-0.01721,-0.124416,-0.00497468,0.00096048,-0.00358298,-0.234848,0.972025
1,82,83,-0.298043,-0.0108843,0.0488654,0.0033714,0.00119917,-0.146296,0.989234
0,85,86,-0.00691414,-0.145547,0.00410628,-0.00875103,-0.00463978,-0.257325,0.966274
1,83,84,-0.055031,-0.111536,-0.00685376,-0.00162734,0.00327035,-0.250571,0.968091
0,86,87,0.0140321,-0.146777,0.00114973,-0.0073646,-0.00198448,-0.217923,0.975936
1,84,85,-0.00150533,-0.107547,0.0378974,-0.00393723,-0.00562179,-0.216468,0.976266
0,87,88,0.00736981,-0.190739,-0.0112811,-0.0130665,0.00484879,-0.270619,0.962586
1,85,86,0.00408964,-0.153261,-0.00722029,-0.00726468,0.00209977,-0.260743,0.965379
0,88,89,-0.128044,-0.05664,0.00851164,-0.00372691,0.00592512,-0.1246,0.992182
1,86,87,0.00470687,-0.15146,-0.017979,-0.00292798,-0.00693147,-0.215688,0.976433
0,89,90,-0.351764,-0.0514858,0.118961,0.0214537,0.00109785,0.00261595,0.999766
1,87,88,0.0158628,-0.163987,0.0118809,-0.00158298,-0.00106939,-0.248309,0.968679
