constraint_type,scan1_index,scan2_index,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1,49,50,-0.0803693,-0.0930126,-0.0108813,0.000212186,0.0010269,-0.195984,0.980606
0,52,53,-0.373094,-0.0266735,0.0656953,0.00464631,0.00492471,-0.117828,0.993011
3,29,45,0.168291,0.0753032,-0.0794002,-0.0631783,-0.0386281,-0.988914,0.128706
1,50,51,-0.19304,-0.0623429,-0.00490646,-0.0100118,0.0159065,-0.0715989,0.997256
0,53,54,-0.420938,-0.0356064,0.0271452,0.0237243,0.00389986,0.115254,0.993045
3,27,48,-0.148377,0.0572667,-0.138031,-0.0532521,-0.0229854,-0.935699,0.348
1,51,52,-0.243867,-0.0899672,0.0193291,-0.024575,-0.0206509,-0.225548,0.973703
0,54,55,-0.434064,-0.0564846,-0.000554278,-0.0015876,-0.0300291,-0.13815,0.989955
3,27,47,0.109416,0.0919953,-0.174731,-0.0483649,-0.0198542,-0.928993,0.366386
1,52,53,-0.370484,-0.0886945,0.0168034,0.0149316,0.00267083,-0.0752952,0.997046
0,55,56,-0.22687,-0.0719805,-0.0047994,-0.00741216,-0.0318533,-0.202537,0.978728
3,30,46,-0.196736,0.104817,-0.0718784,-0.0640773,-0.0631483,-0.987963,0.12584
1,53,54,-0.431866,0.0146343,-0.0230015,0.0070246,0.00968534,0.101653,0.994748
0,56,57,-0.416648,-0.0565871,0.00130002,-0.00565764,-0.0175943,-0.154393,0.987837
3,29,47,-0.182647,0.0969026,-0.129776,-0.0678002,-0.0530143,-0.988783,0.122072
1,54,55,-0.4505,-0.0110292,0.0268244,-0.0100177,-0.025564,-0.157507,0.987136
0,57,58,-0.365315,-0.0603059,0.0324876,0.00241172,-0.00624705,0.0565074,0.99838
3,30,44,0.209767,0.123919,-0.0394323,-0.0467135,-0.058433,-0.988721,0.129746
1,55,56,-0.245453,-0.0665756,-0.00302729,-0.00295085,-0.00178344,-0.205317,0.978689
0,58,59,-0.467735,-0.0101342,0.0406039,0.0043573,0.018155,0.216451,0.976115
3,31,45,-0.229244,0.128301,-0.0234595,-0.0653544,-0.038944,-0.994406,0.0732768
1,56,57,-0.453297,-0.101653,-0.00429924,0.0229795,-0.00303197,-0.142641,0.989503
0,59,60,-0.33011,0.0235647,0.0369952,0.00423466,0.0137361,0.207629,0.978102
3,31,43,0.21495,0.17748,0.00478701,-0.0532221,-0.0475668,-0.99458,0.0756019
1,57,58,-0.427683,-0.0382286,-0.0158621,-0.00289199,0.0109455,0.0649789,0.997822
0,60,61,-0.483232,-0.0586396,0.0118373,-0.00172362,3.06451e-06,0.0778611,0.996963
3,28,45,0.283571,0.0170845,-0.0892233,-0.052679,-0.035453,-0.984229,0.165109
1,58,59,-0.486264,-0.0237516,0.012071,0.00380453,0.0123377,0.246862,0.968965
0,61,62,-0.474443,-0.0347847,0.0120235,0.00535293,-0.0147017,0.0105941,0.999821
3,32,44,-0.289892,0.0981225,-0.0359385,-0.0494882,-0.0369009,-0.996943,0.0478881
1,59,60,-0.329275,0.0128994,0.00343327,0.00418441,0.00989518,0.204859,0.978732
0,62,63,-0.358909,0.013173,0.00236209,0.00109623,-0.00550562,0.0155922,0.999863
3,26,48,-0.0278911,0.238553,-0.194537,-0.0705504,-0.0240308,-0.827319,0.556766
1,60,61,-0.477922,-0.0412518,0.0511563,-0.00929767,-0.00791902,0.0605269,0.998092
0,63,64,-0.353746,0.00999403,0.0446759,0.0714355,-0.00529693,-0.00741829,0.997404
3,9,59,-0.106122,0.125413,-0.271426,-0.0495247,0.0461136,-0.997341,0.0270532
1,61,62,-0.476631,-0.0414988,-0.0204472,-0.00142171,0.0133895,0.0143096,0.999807
0,64,65,-0.363866,-0.00664869,-0.0425594,0.0700819,-0.0181839,-0.109621,0.991333
3,27,46,0.278158,0.0693404,-0.153952,-0.0474336,-0.0229022,-0.927015,0.371307
1,62,63,-0.465264,-0.0530361,0.00233825,0.000347584,0.0109484,0.0231626,0.999672
0,65,66,-0.356047,-0.0410143,-0.0629137,-0.0498227,-0.0416098,-0.0871809,0.994075
3,28,48,-0.327688,0.00969709,-0.100142,-0.0623112,-0.0535438,-0.986843,0.139256
1,63,64,-0.439338,-0.0123348,0.0741333,0.00120271,0.000309128,-0.00212112,0.999997
0,66,67,-0.384497,-0.0997883,-0.0636305,-0.00946472,-0.0382763,-0.044615,0.998226
3,18,57,0.00270683,0.196808,-0.311729,0.00691647,0.0577639,-0.9715,0.22979
1,64,65,-0.455715,0.0109,0.0953502,-0.00408558,-0.00189892,-0.12937,0.991586
0,67,68,-0.199149,-0.0999859,0.0423347,-0.0132999,-0.0188554,-0.203177,0.97887
3,26,50,-0.144344,0.216603,-0.267324,-0.0857751,0.0141504,-0.979376,0.182386
1,65,66,-0.44715,-0.0906032,0.0586997,-0.0205174,0.005824,-0.100956,0.994662
0,68,69,-0.116277,-0.156188,-0.00276112,-0.0189319,-0.00164364,-0.219661,0.975391
3,26,49,-0.135622,0.237707,-0.256748,-0.0858403,-0.00292771,-0.924723,0.370823
2,26,49,-0.104787,-0.0661254,0.108153,-0.0337578,-0.00551636,-0.909697,0.413861
1,66,67,-0.415751,-0.00553051,0.0681192,-0.00762317,-0.0021754,-0.0894415,0.995961
0,69,70,-0.267387,-0.0874984,0.107559,0.0243869,0.0107415,-0.0686273,0.997286
3,27,49,-0.177597,0.0042384,0.112594,0.0374695,-0.00270737,-0.98241,0.182916
1,67,68,-0.228776,-0.0686344,-0.00838697,-0.00510088,0.00558252,-0.225933,0.974114
